2022-03-25 09:35:02,699 - pilot.pilot_node_without_oa - INFO - 
NEW RUN IN PROGRESS
2022-03-25 09:35:02,701 - pilot.pilot_node_without_oa - DEBUG - Pilot running
2022-03-25 09:38:11,891 - pilot.pilot_node_without_oa - INFO - 
NEW RUN IN PROGRESS
2022-03-25 09:38:11,893 - pilot.pilot_node_without_oa - DEBUG - Pilot running
2022-03-25 09:55:42,765 - pilot.pilot_node_without_oa - INFO - 
NEW RUN IN PROGRESS
2022-03-25 09:55:42,767 - pilot.pilot_node_without_oa - DEBUG - Pilot running
2022-03-25 09:58:25,784 - pilot.pilot_node_without_oa - INFO - 
NEW RUN IN PROGRESS
2022-03-25 09:58:25,786 - pilot.pilot_node_without_oa - DEBUG - Pilot running
2022-03-25 09:59:20,811 - pilot.pilot_node_without_oa - INFO - 
NEW RUN IN PROGRESS
2022-03-25 09:59:20,813 - pilot.pilot_node_without_oa - DEBUG - Pilot running
2022-03-25 09:59:57,624 - pilot.pilot_node_without_oa - INFO - 
NEW RUN IN PROGRESS
2022-03-25 09:59:57,626 - pilot.pilot_node_without_oa - DEBUG - Pilot running
2022-03-25 10:00:48,010 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 34.28 and throttle: 30
2022-03-25 10:00:48,211 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 35.96000000000001 and throttle: 30
2022-03-25 10:00:48,413 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 37.5 and throttle: 30
2022-03-25 10:00:48,612 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 38.47 and throttle: 30
2022-03-25 10:00:48,815 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 40.629999999999995 and throttle: 30
2022-03-25 10:00:49,016 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 42.360000000000014 and throttle: 30
2022-03-25 10:00:49,216 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 43.24000000000001 and throttle: 30
2022-03-25 10:00:49,417 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 48.22 and throttle: 30
2022-03-25 10:00:49,619 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 49.24000000000001 and throttle: 30
2022-03-25 10:00:49,820 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 48.66999999999999 and throttle: 30
2022-03-25 10:00:50,022 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 56.33000000000001 and throttle: 30
2022-03-25 10:00:50,223 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 54.129999999999995 and throttle: 30
2022-03-25 10:00:50,423 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 60.44999999999999 and throttle: 30
2022-03-25 10:00:50,624 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 56.31999999999999 and throttle: 30
2022-03-25 10:00:50,826 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 71.63 and throttle: 30
2022-03-25 10:00:51,026 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 65.13 and throttle: 30
2022-03-25 10:00:51,228 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 69.33000000000001 and throttle: 30
2022-03-25 10:00:51,428 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 74.5 and throttle: 30
2022-03-25 10:00:51,631 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 78.53999999999999 and throttle: 30
2022-03-25 10:00:51,832 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 86.28999999999999 and throttle: 30
2022-03-25 10:00:52,033 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 82.5 and throttle: 30
2022-03-25 10:00:52,234 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 90.86000000000001 and throttle: 30
2022-03-25 10:00:52,433 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 100.33000000000001 and throttle: 30
2022-03-25 10:00:52,638 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 92.15 and throttle: 30
2022-03-25 10:00:52,836 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 110.15 and throttle: 30
2022-03-25 10:00:53,037 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 106.72999999999999 and throttle: 30
2022-03-25 10:00:53,241 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 118.22 and throttle: 30
2022-03-25 10:00:53,441 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 119.44 and throttle: 30
2022-03-25 10:00:53,643 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 126.62 and throttle: 30
2022-03-25 10:00:53,844 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 130.1 and throttle: 30
2022-03-25 10:00:54,042 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 135.08 and throttle: 30
2022-03-25 10:00:54,247 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 143.97 and throttle: 30
2022-03-25 10:00:54,447 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 144.92 and throttle: 30
2022-03-25 10:00:54,649 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 151.9 and throttle: 30
2022-03-25 10:00:54,849 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 153.64 and throttle: 30
2022-03-25 10:00:55,051 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 162.08 and throttle: 30
2022-03-25 10:00:55,252 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 166.66 and throttle: 30
2022-03-25 10:00:55,454 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 172.87 and throttle: 30
2022-03-25 10:00:55,655 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 177.18 and throttle: 30
2022-03-25 10:00:55,853 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 184.98000000000002 and throttle: 30
2022-03-25 10:00:56,056 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 190.38 and throttle: 30
2022-03-25 10:00:56,258 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 194.06 and throttle: 30
2022-03-25 10:00:56,459 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 194.6 and throttle: 30
2022-03-25 10:00:56,660 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 193.79000000000002 and throttle: 30
2022-03-25 10:00:56,861 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 194.24 and throttle: 30
2022-03-25 10:00:57,172 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 193.3 and throttle: 30
2022-03-25 10:00:57,378 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 188.87 and throttle: 30
